id,name,cluster,postcode,lat,lon,length
s2812,Ernst-Bruch-Zeile,1,13591,52.52919045246896,13.16226247895815,367
s2813,Ernst-Bumm-Weg,1,14059,52.519740126628434,13.287202569979769,110
s2814,Ernst-Busch-Straße,1,13125,52.62861168906944,13.491263444100404,153
s2815,Ernst-Fürstenberg-Straße,1,10407,52.531054922689464,13.445157603595067,236
s2816,Ernst-Girmindl-Weg,1,12309,52.39344828772898,13.41566305854155,276
s2817,Ernst-Grube-Straße,1,12555,52.44926449071757,13.562661963343476,790
s2818,Ernst-Haeckel-Straße,1,12621,52.522560833382094,13.613621675463138,1166
s2819,Ernst-Lange-Straße,1,13591,52.52775014020739,13.120796757197192,372
s2820,Ernst-Lau-Straße,1,12489,52.43280597073273,13.522760938084362,321
s2821,Ernst-Lemmer-Ring,1,14165,52.42186544396477,13.246866631641158,665
s2822,Ernst-Ludwig-Heim-Straße,1,13125,52.62648001398164,13.498874300725815,284
s2823,Ernst-Reinke-Straße,1,10369,52.52705991387292,13.461689525333028,162
s2824,Ernst-Reuter-Platz,1,10587,52.51200688338968,13.321855387220547,441
s2825,Ernst-Ring-Straße,1,14129,52.43510282922548,13.202547130273578,206
s2826,Ernstroder Weg,1,12683,52.50741567838868,13.544771282570748,163
s2827,Ernst-Ruska-Ufer,1,12489,52.42637803791695,13.528632895126833,2773
s2828,Ernststraße,3,12437,52.46561115,13.488963650000002,209
s2829,Ernststraße,4,13357,52.552104953980425,13.393836966167697,73
s2830,Ernststraße,1,13509,52.58308027446144,13.299266670627288,1113
s2831,Ernststraßensteg,1,13509,52.58267336097488,13.293762544801643,143
s2832,Ernst-Ziesel-Straße,1,12459,52.45524752510811,13.526043308814724,128
s2833,Erpeweg,1,12587,52.45665900319855,13.598463048537418,95
s2834,Ersteiner Straße,1,14169,52.441413122285006,13.27470060230384,327
s2835,Erwin-Bennewitz-Weg,1,12435,52.482310878231445,13.476918866185418,171
s2836,Erwin-Bock-Straße,1,12559,52.439089542487785,13.597939767313605,538
s2837,Erwin-Dahlen-Weg,1,13359,52.558923462351025,13.382320252922025,60
s2838,Erwinstraße,1,12683,52.4769975,13.560358699999998,121
s2839,Erxlebenstraße,1,12524,52.405843308675465,13.536902691100057,424
s2840,Erzgebirgsweg,1,13583,52.548588467938195,13.18073037980885,341
s2841,Eschachstraße,1,13507,52.5950125,13.28612,8
s2842,Eschelberger Weg,1,12621,52.490779829554995,13.572536926938458,446
s2843,Eschenallee,2,14050,52.516459150642596,13.268013383433576,783
s2844,Eschenallee,3,13158,52.59055007362252,13.39314619997896,200
s2845,Eschenbachstraße,1,12437,52.46884775,13.4898607,128
s2846,Eschengraben,1,13189,52.5574075,13.4231637,1724
s2847,Eschenstraße,1,12161,52.474129830814356,13.325193430235382,152
s2848,Eschenstraße,2,12621,52.48867783533984,13.584555986696476,690
s2849,Eschenweg,1,13587,52.56900378110211,13.207219956183419,578
s2850,Eschenwinkel,1,13591,52.538511031825394,13.148181096077874,245
s2851,Eschershauser Weg,1,14163,52.450485410386975,13.248350953872741,1385
s2852,Eschersheimer Straße,1,12099,52.46412199529163,13.421543044167864,370
s2853,Eschwegering,1,12101,52.47461182290785,13.379037716301568,215
s2854,Esmarchstraße,1,10407,52.53234362370061,13.431845331726066,336
s2855,Esplanade,1,13187,52.55785385920019,13.406823109438132,956
s2856,Essener Straße,1,10555,52.52390396968999,13.339292085306695,447
s2857,Essenplatz,1,12555,52.46019114149227,13.591052823312294,182
s2858,Estersstraße,1,12277,52.42547159951539,13.368643694215438,189
s2859,E.T.A.-Hoffmann-Promenade,1,10969,52.502181164047265,13.392133114177591,120
s2860,Etkar-André-Straße,1,12619,52.53031829397957,13.593683691285605,414
s2861,Ettaler Straße,1,10777,52.4986392996866,13.33836022819291,206
s2862,Ettenheimer Pfad,1,13469,52.607216920269245,13.327646106897767,344
s2863,Ettersburger Weg,1,13086,52.55284075,13.44207565,92
s2864,Etzelstraße,1,13156,52.5823082,13.37962905,100
s2865,Eugen-Bolz-Kehre,1,12351,52.429636806982515,13.467042359981354,173
s2866,Eugeniu-Botnari-Square,1,10317,52.51027159825404,13.498783298664927,0
s2867,Eugen-Kleine-Brücke,1,12207,52.41973167860665,13.302756786456724,44
s2868,Eugen-Roth-Weg,1,12681,52.51992985465018,13.546294284949514,414
s2869,Eugen-Schönhaar-Straße,1,10407,52.536486362569335,13.436610422563936,415
s2870,Eulenweg,1,12355,52.40040895,13.4908744,90
s2871,Eulerstraße,1,13357,52.553197973256495,13.39036290380719,368
s2872,Eupener Straße,1,13125,52.64435630204445,13.494773793210353,285
s2889,Fahlandgasse,1,13409,52.56346709467663,13.36575916538168,92
s2873,Eutinger Weg,1,13469,52.61072084772208,13.320775101956352,173
s2874,Evastraße,1,12159,52.47571034866973,13.33190900248475,111
s2875,Ewaldstraße,1,12524,52.40445037254468,13.551767183049481,1846
s2876,E-Weg,1,13089,52.562577152644074,13.439549620367403,218
s2877,Eweststraße,1,13127,52.59396694590062,13.433507704586578,180
s2878,Exerzierstraße,1,13357,52.55393798364141,13.374157376348142,525
s2879,Exiner Straße,1,12355,52.41104612531997,13.501739164053657,507
s2880,Eyke-von-Repkow-Platz,1,10555,52.518865752927304,13.332836063542302,267
s2881,Eylauer Straße,1,10965,52.48641979932678,13.37491537285122,304
s2882,Eythstraße,1,12105,52.45979923835515,13.364264069223264,538
s2883,Fabeckstraße,1,14195,52.45279885545166,13.29388950485166,1375
s2884,Fabriciusstraße,1,10589,52.52876431466813,13.29955360396915,263
s2885,Fachinger Straße,1,13591,52.54361919127301,13.129621523464657,805
s2886,Fafnersteg,1,13089,52.582863728777916,13.439225776661207,171
s2887,Fafnerstraße,1,13089,52.5818956946863,13.442706757518355,347
