id,name,cluster_id,postcode,lat,lon
9503,Sebnitzer Weg,1,12355,52.4141338,13.4868859
9504,Sedanstraße,1,13581,52.53146870828878,13.19828006249067
9505,Sedanstraße,2,12167,52.44837845212068,13.332711449417364
9506,Seddiner Straße,1,10315,52.51330836447285,13.52156364308639
9507,Seddiner Weg,1,12559,52.41665620199561,13.678271720129034
9508,Seddinpromenade,1,12527,52.375660708933424,13.658282748635436
9509,Seeadlerweg,1,12355,52.4010279198112,13.491304584634863
9510,Seebadstraße,2,12621,52.48309633589961,13.581777607517578
9511,Seebadstraße,3,14089,52.46560943784271,13.123409878369868
9512,Seebadstraße,1,13467,52.61593559274361,13.323378299364222
9513,Seebeckstraße,1,13409,52.5728734,13.37747285
9514,Seeblickstraße,1,13467,52.6261033607234,13.316777599590395
9516,Seeburger Straße,1,13581,52.52739362806957,13.186611725221983
9517,Seeburger Weg,1,13581,52.52417472572465,13.175465585530283
9518,Seecktstraße,1,13581,52.52710507841632,13.190396376587813
9519,Seefelder Straße,1,13053,52.54977058100679,13.504527902409341
9520,Seegefelder Straße,1,13583,52.538250493799616,13.183626462744552
9521,Seegefelder Weg,1,13591,52.54532310707639,13.147790202673937
9524,Seehofstraße,1,14167,52.42719898384813,13.271856873552313
9525,Seejungfernweg,1,13589,52.55501495000001,13.159266350000003
9526,Seekorso,1,14089,52.46808311963844,13.126613305483918
9527,Seelbuschring,1,12105,52.44854055006228,13.372077430410561
9528,Seelenbinderstraße,1,12555,52.455433843503315,13.585749280490537
9529,Seelingstraße,1,14059,52.51542678023124,13.292037766122352
9530,Seelower Straße,1,10439,52.55202578626109,13.410630677369339
9531,Seerosensteig,1,12347,52.44200823675687,13.416051156622931
9532,Seerosenweg,1,12157,52.461597177820394,13.351710495648351
9533,Seesener Straße,1,10709,52.49219606497225,13.297020095945982
9534,Seestraße,1,13089,52.56119240783913,13.437628180537969
9535,Seestraße,4,13088,52.55078988052561,13.483191996105148
9536,Seestraße,8,12623,52.47787733558201,13.597136546977437
9537,Seestraße,9,12589,52.439105228476876,13.684056991112138
9538,Seestraße,12,13467,52.61479556799526,13.32350987592227
9539,Seestraße,2,13353,52.547370332606114,13.345720865359459
9540,Seeuferstraße,1,14109,52.424323514323746,13.188579671468514
9541,Seeweg,2,13088,52.55292,13.4654253
9542,Seeweg,3,13051,52.56084737470297,13.490996452571995
9544,Segelfliegerdamm,1,12487,52.443561027395155,13.509648338803927
9545,Segewaldweg,1,12557,52.434101735153774,13.578934361550399
9546,Segitzdamm,1,10999,52.49954213731779,13.412885154102467
9547,Seglerweg,1,14109,52.42442475,13.16093545
9548,Seibtweg,1,14165,52.42409201738256,13.246679221099628
9549,Seidelbastweg,1,12357,52.43563504453462,13.486398752059173
9550,Seidelstraße,1,13507,52.57003329847025,13.30014890255384
9551,Seidelweg,1,13627,52.54167896728189,13.307971443954019
9552,Seidenbaustraße,1,12489,52.436295301230786,13.541411049509787
9553,Seidenberger Straße,1,13086,52.55757217005853,13.435604534694212
9554,Seidenbienenweg,1,12589,52.427763148663715,13.717463266967126
9555,Seidenhuhnweg,1,12355,52.4087034,13.483537049999999
9556,Seidenschwanzstraße,1,12623,52.518053760149684,13.640944252561809
9557,Seidenweg,1,13156,52.57741895,13.392464499999999
9558,Seifertweg,1,10318,52.49432939999999,13.527828450000003
9559,Seilerweg,1,12355,52.41787746722547,13.490599154510003
9560,Selbhornweg,1,12107,52.43378131769451,13.40060127365654
9579,Semkensteig,1,13409,52.56356118305313,13.368221478148586
9561,Selbitzer Straße,1,14089,52.45809352674727,13.12454142260613
9562,Selchower Straße,1,12049,52.47883992258733,13.422584401715106
9563,Selchowstraße,1,12489,52.440022549617815,13.551444873968109
9564,Selchowstraße,2,14199,52.47454274789444,13.288695406083768
9565,Selerweg,1,12169,52.454458469059226,13.335243136619201
9566,Selgenauer Weg,1,12355,52.418033127687806,13.506270594005827
9567,Selkestraße,1,12053,52.4717302,13.4365561
9568,Sella-Hasse-Straße,1,12687,52.55471391701828,13.558908382666239
9569,Sellerbrücke,1,13353,52.5365009,13.3661262
9570,Sellerstraße,1,13353,52.538454443334686,13.367823603128947
9571,Sellheimbrücke,1,13129,52.59973591151745,13.469233926736678
9572,Sellinstraße,1,13189,52.56619511225827,13.417687768223464
9573,Sellinweg,1,13127,52.595536473177916,13.421447147164779
9574,Selma-Lagerlöf-Straße,1,13189,52.56163203032163,13.425646786365228
9575,Selmer Pfad,1,13507,52.573783632649096,13.270744671667936
9576,Seltersstraße,1,12305,52.40739184746324,13.416784541757494
9577,Sembritzkistraße,1,12169,52.453522041716866,13.352712004539608
9578,Semiramisstraße,1,13089,52.568048640961386,13.43416520665151
9580,Semliner Straße,1,12555,52.46903204141021,13.57724577769277
9581,Semmelländerweg,1,13593,52.5189589093124,13.159773536841982
9582,Semmelweg,1,13507,52.57340718483792,13.267951703163009
9583,Semmelweisstraße,1,12524,52.42362413518853,13.53135603183391
9584,Semnonenweg,1,13595,52.50522448128164,13.184194562469719
9585,Semnonenweg,2,12524,52.412529227742205,13.552848096844858
